id,institution
26172,A&M-Corpus Christi
2,Abilene Christian
30123,Academy of Art
929,Adams St.
3,Adelphi
4,Adrian
11324,Agnes Scott
721,Air Force
5,Akron
506337,Akron-Wayne
8,Alabama
6,Alabama A&M
10,Alabama Huntsville
7,Alabama St.
11,Alas. Anchorage
12,Alas. Fairbanks
14,Albany (NY)
500075,Albany Pharmacy
13,Albany St. (GA)
506450,Alberta (CAN)
2798,Albertus Magnus
15,Albion
16,Albright
17,Alcorn
934,Alderson Broaddus
18,Alfred
30170,Alfred St.
506430,Algoma (CAN)
500112,Alice Lloyd
19,Allegheny
500120,Allen
21,Alma
938,Alvernia
28746,Alverno
23,American
506413,American (PR)
22,American Int'l
24,Amherst
506365,Ana G. Méndez (PR)
939,Anderson (IN)
13028,Anderson (SC)
506268,Andrews
25,Angelo St.
26,Anna Maria
506476,Antelope Valley
500174,Appalachian Bible
27,Appalachian St.
506125,Apprentice
500180,Aquinas
966,Arcadia
29,Arizona
500187,Arizona Bible
504994,Arizona Christian
28,Arizona St.
30105,Ark.-Fort Smith
8411,Ark.-Monticello
2678,Ark.-Pine Bluff
31,Arkansas
30,Arkansas St.
947,Arkansas Tech
500232,Arlington Baptist
725,Army West Point
506029,Asbury
35,Ashland
36,Assumption
37,Auburn
38,Augsburg
39,Augusta
40,Augustana (IL)
41,Augustana (SD)
30093,AUM
42,Aurora
953,Austin
43,Austin Peay
506346,Ave Maria
44,Averett
500322,Avila
30146,Azusa Pacific
506452,B.C.-Okanagan (CAN)
45,Babson
506174,Bacone
506059,Baker
46,Baldwin Wallace
47,Ball St.
500365,Baptist Bible (MO)
500381,Barclay
962,Bard
49,Barry
15646,Barton
58,Baruch
50,Bates
26520,Bay Path
51,Baylor
26107,Becker
30197,Belhaven
52,Bellarmine
500415,Bellevue
14927,Belmont
2683,Belmont Abbey
53,Beloit
54,Bemidji St.
55,Benedict
296,Benedictine (IL)
506015,Benedictine (KS)
506498,Benedictine Mesa
506374,Benedictine-Sprngfld
56,Bentley
30171,Berea
506167,Berkeley (NJ)
506384,Berkeley (NY)
973,Berry
506014,Bethany (KS)
59,Bethany (WV)
30038,Bethany Lutheran
500485,Bethel (IN)
506120,Bethel (KS)
60,Bethel (MN)
500500,Bethel (TN)
506379,Bethesda (CA)
61,Bethune-Cookman
62,Binghamton
30220,Biola
28593,Birmingham-So.
30134,Black Hills St.
64,Blackburn
984,Bloomfield
65,Bloomsburg
500551,Blue Mountain (MS)
500552,Bluefield Col.
985,Bluefield St.
987,Bluffton
30232,Bob Jones
66,Boise St.
67,Boston College
68,Boston U.
69,Bowdoin
70,Bowie St.
71,Bowling Green
506316,Boyce
72,Bradley
73,Brandeis
506451,Brandon (CAN)
506178,Brenau
500610,Brescia
30094,Brevard
500612,Brewton-Parker
500615,Briar Cliff (IA)
74,Bridgeport
75,Bridgewater (VA)
76,Bridgewater St.
506366,Briercrest (CAN)
506196,British Colum. (CAN)
506438,Brock (CAN)
78,Brockport
79,Brooklyn
80,Brown
506538,Bry. & Strat. (Alb.)
506496,Bry. & Strat. (Buf.)
506542,Bry. & Strat. (Roc.)
506539,Bry. & Strat. (Syr.)
500660,Bryan
81,Bryant
30188,Bryn Athyn
82,Bryn Mawr
83,Bucknell
84,Buena Vista
86,Buffalo
85,Buffalo St.
87,Butler
77,BYU
88,Cabrini
1305,Cairn
105,Cal Lutheran
500745,Cal Maritime
90,Cal Poly
91,Cal Poly Pomona
92,Cal St. Dom. Hills
98,Cal St. East Bay
97,Cal St. Fullerton
30055,Cal St. Monterey Bay
93,Cal St. San B'dino
30198,Cal St. San Marcos
100,Cal State LA
106,Cal U (PA)
995,Caldwell
506453,Calgary (CAN)
107,California
30135,California Baptist
89,Caltech
506194,Calumet Col.
500768,Calvary
114,Calvin
996,Cameron
506461,Camosun (CAN)
506534,Camp. Harrodsburg
506535,Camp. Somerset
115,Campbell
500785,Campbellsville
506490,Canadian Mennonite
116,Canisius
