id,drafted,hs,col
aardsda01,True,"Cherry Creek HS (Greenwood Village, CO)","Pennsylvania State University (State College, PA)"
abadan01,True,"Jupiter HS (Jupiter, FL)","Middle Georgia College (Cochran, GA)"
abadfe01,False,,
abercre01,True,"Columbus HS (Columbus, GA)","Florida Gateway College (Lake City, FL)"
abernbr01,False,"Lovett School (Atlanta, GA)",Toronto Blue Jays
abreujo02,False,,
abreuju01,False,,
abreuto01,False,,
abreuwi01,False,,
accarje01,False,"Mesa HS (Mesa, AZ)","Illinois State University (Normal, IL)"
aceveal01,False,,
acevejo01,False,"Santiago (Santiago, Dominican Republic)",
achteaj01,True,"Clay HS (Oregon, OH)","Michigan State University (East Lansing, MI)"
ackledu01,True,"North Forsyth HS (Winston-Salem, NC)","University of North Carolina at Chapel Hill (Chapel Hill, NC)"
acostma01,False,,
acunaro01,False,,
adamecr01,False,,
adamewi01,False,,
adamja01,True,"Blue Valley Northwest HS (Overland Park, KS)",
adamsau01,True,"Stanhope Elmore HS (Millbrook, AL)","Faulkner University (Montgomery, AL)"
adamsau02,True,"Zephyrhills HS (Zephyrhills, FL)","University of South Florida (Tampa, FL)"
adamsch01,True,"Chaparral HS (Scottsdale, AZ)","Dallas Baptist University (Dallas, TX)"
adamsda02,True,"Grandview Prep (Boca Raton, FL)","University of Virginia (Charlottesville, VA)"
adamsla01,True,"Red Oak HS (Red Oak, OK)",
adamsma01,True,"Philipsburg-Osceola HS (Philipsburg, PA)","Slippery Rock University of Pennsylvania (Slippery Rock, PA)"
adamsmi03,False,"Sinton HS (Sinton, TX)","Texas A&M University-Kingsville (Kingsville, TX)"
adamsru01,True,"Scotland HS (Laurinburg, NC)","University of North Carolina at Chapel Hill (Chapel Hill, NC)"
adamsry01,True,"Jesuit HS (New Orleans, LA)",
adcocna01,True,"North Hardin HS (Radcliff, KY)",
adducji02,True,"Evergreen Park HS (Evergreen Park, IL)",
adenhni01,True,"Williamsport HS (Williamsport, MD)",
adkinjo01,True,"Wayne HS (Wayne, WV)","Oklahoma State University (Stillwater, OK)"
adlemti01,True,"Wakefield HS (Raleigh, NC)","Georgetown University (Washington, DC)"
adriaeh01,False,,
affelje01,True,"Northwest Christian HS (Spokane, WA)",
aguilch01,True,"McQueen HS (Reno, NV)",
aguilje01,False,,
ahmedni01,True,"East Longmeadow HS (East Longmeadow, MA)","University of Connecticut (Storrs, CT)"
ainswku01,True,"Catholic HS (Baton Rouge, LA)","Louisiana State University (Baton Rouge, LA)"
albaljo01,True,"Colegio Janil (Vega Baja, Puerto Rico)","Miami-Dade College (Miami, FL)"
alberan01,True,"John Paul II HS (North Battleford, SK)","University of Kentucky (Lexington, KY)"
alberha01,False,,
alberma01,True,"William P. Clements HS (Sugar Land, TX)","San Jacinto College (Pasadena, TX)"
albieoz01,False,,
albural01,False,,
alcanar01,False,,
alcanis01,False,"Santo Domingo (Santo Domingo, Dominican Republic)",
alcanra01,False,,
alcansa01,False,,
alcanvi01,False,,
aldrico01,True,"Cooper HS (Abilene, TX)",
alexasc02,True,"Cardinal Newman HS (Santa Rosa, CA)","Sonoma State University (Rohnert Park, CA)"
alfarja01,True,"Western Hills HS (Fort Worth, TX)","Hill College (Hillsboro, TX)"
alfarjo01,False,,
alfonel01,False,"Puerto la Cruz (Puerto la Cruz, Venezuela)",
alforan01,True,"Petal HS (Petal, MS)","University of Mississippi (Oxford, MS)"
allarko01,True,"San Clemente HS (San Clemente, CA)",
allenbr01,True,"Montgomery HS (Montgomery, TX)",
allenco01,True,"William R. Boone HS (Orlando, FL)","High Point University (High Point, NC)"
allendu01,True,"Edmond Memorial HS (Edmond, OK)","Stanford University (Palo Alto, CA)"
allengr01,True,"Hilltop HS (Chula Vista, CA)","San Diego State University (San Diego, CA)"
allenlu01,False,"Newton HS (Covington, GA)",
almonab01,False,,
almoned01,True,"Seward Park HS (Seward Park, NY)","St. Francis University (Brooklyn, NY)"
almoner01,False,"Santo Domingo (Santo Domingo, Dominican Republic)",
almonmi01,False,,
almonye01,True,"Christopher Columbus HS (Miami, FL)",
almonzo01,False,,
almoral01,False,"Mater Academy Charter School (Hialeah, FL)",Chicago Cubs
alonsyo01,True,"Coral Gables HS (Coral Gables, FL)","University of Miami (Coral Gables, FL)"
altavda01,True,"Elizabeth-Forward HS (McKeesport, PA)","Mercyhurst College (Erie, PA)"
altheaa01,True,"Agua Fria HS (Avondale, AZ)",
altuvjo01,False,,
alvarab01,True,"Fontana HS (Fontana, CA)","California State University Long Beach (Long Beach, CA)"
alvarcl01,False,"Anzoategui (Anzoategui, Venezuela)",
alvarda01,False,Liceo Herminia Perez (Dominican Republic),
alvarda02,False,,
alvarhe01,False,,
alvarjo02,False,,
alvarjo03,False,,
alvarpe01,False,"Horace Mann School (Riverdale, NY)","Vanderbilt University (Nashville, TN)"
alvarrj01,True,"Cardinal Newman HS (West Palm Beach, FL)","Florida Atlantic University (Boca Raton, FL)"
alvarto01,False,"Los Teques (Los Teques, Venezuela)",
alvarvi01,False,"Culiacan (Culiacan, Mexico)",
amarial01,False,,
ambrech01,True,"Beaumont HS (Beaumont, TX)",
ambrihe01,True,"Valencia HS (Placentia, CA)","University of California, Los Angeles (Los Angeles, CA)"
amesst01,True,"Hudson's Bay HS (Vancouver, WA)","Gonzaga University (Spokane, WA)"
amezaal01,True,"Miami Senior HS (Miami, FL)","St. Petersburg College (St. Petersburg, FL)"
anderbr03,True,"Canyon del Oro HS (Oro Valley, AZ)","University of Arizona (Tucson, AZ)"
anderbr04,True,"Stillwater HS (Stillwater, OK)",
anderbr05,True,"Simi Valley HS (Simi Valley, CA)",
anderbr06,True,"Deer Creek HS (Edmond, OK)","University of Arkansas (Fayetteville, AR)"
anderch01,True,"Rider HS (Wichita Falls, TX)","University of Oklahoma (Norman, OK)"
anderco01,True,"Quincy HS (Quincy, CA)","Feather River College (Quincy, CA)"
anderdr01,True,"Kearney HS (Kearney, NE)","University of Nebraska at Lincoln (Lincoln, NE)"
anderdr02,True,"Galena HS (Reno, NV)",
anderja01,True,"Danville HS (Danville, IL)","University of Illinois at Urbana-Champaign (Champaign, IL)"
anderjo03,True,"Pulaski County HS (Somerset, KY)","Eastern Kentucky University (Richmond, KY)"
anderju01,True,"St. Pius X HS (Houston, TX)","University of Texas at San Antonio (San Antonio, TX)"
anderla03,True,"Jesuit HS (Carmichael, CA)",
anderta01,True,,"Harvard University (Cambridge, MA)"
anderti01,True,"Hillcrest HS (Tuscaloosa, AL)","East Central Community College (Decatur, MS)"
anderty01,True,"Valley HS (Las Vegas, NV)","University of Oregon (Eugene, OR)"
andinro01,True,"Miami Southridge Senior HS (Miami, FL)",
andrast01,True,"Woodland HS (Woodland, CA)","American River College (Sacramento, CA)"
andrecl01,True,"Seminole HS (Seminole, FL)",
andrejo03,True,"St. John's HS (Shrewsbury, MA)","University of Connecticut (Storrs, CT)"
andrima01,True,"Redlands East Valley HS (Redlands, CA)","University of California, Riverside (Riverside, CA)"
andruel01,False,,
andujmi01,False,,
anglema01,True,"Whitehall-Yearling HS (Whitehall, OH)","The Ohio State University (Columbus, OH)"
annade01,True,"Lincoln-Way East HS (Frankfort, IL)","Ball State University (Muncie, IN)"
antoldu01,True,"Mililani HS (Mililani, HI)",
antonma01,False,"St. John's Preparatory School (Danvers, MA)","Wake Forest University (Winston-Salem, NC)"
aokino01,False,Hyuga HS (Japan),Waseda University (Japan)
aquinar01,False,,
aquingr01,False,"Americo Lugo (Palenque, Dominican Republic)",
aquinja01,False,,
aranovi01,False,,
araujel01,False,,
araujpe01,False,,
archech01,True,"Clayton HS (Clayton, NC)",
arciafr01,False,,
arciaor01,False,,
arciaos01,False,,
ardoida01,True,"Sacred Heart HS (Villa Platte, LA)","Texarkana College (Texarkana, TX)"
arenano01,True,"El Toro HS (Lake Forest, CA)",
arencjp01,True,"Westminster Christian (Miami, FL)","University of Tennessee (Knoxville, TN)"
ariasal02,False,,
ariasjo01,False,,
armstsh01,True,"West Craven HS (Vanceboro, NC)","East Carolina University (Greenville, NC)"
arojo01,False,,
arredjo01,False,Ava Josefa Puello (Dominican Republic),
arrieja01,True,"Plano East HS (Plano, TX)","Texas Christian University (Fort Worth, TX)"
arroybr01,True,"Hernando HS (Brooksville, FL)",
arroych01,True,"Hernando HS (Brooksville, FL)",
arrueba01,False,,
ascanjo01,False,,
ascheco01,True,"Fort Zumwalt West HS (O'Fallon, MO)","University of Nebraska at Lincoln (Lincoln, NE)"
asencmi01,False,"Liceo Tiro Al Blanco (La Victoria, Dominican Republic)",
asheral01,True,"Lakeland Senior HS (Lakeland, FL)","Polk Community College (Winter Haven, FL)"
ashlene01,True,"North Knox HS (Bicknell, IN)","Indiana State University (Terre Haute, IN)"
astacez01,False,"Hato Mayor (Hato Mayor, Dominican Republic)",
astinba01,True,"Forrest City HS (Forrest City, AR)","University of Arkansas (Fayetteville, AR)"
astudwi01,False,,
asuajca01,True,"St. Thomas Aquinas HS (Fort Lauderdale, FL)","Nova Southeastern University (Fort Lauderdale, FL)"
atchisc01,True,"McCullough HS (The Woodlands, TX)","Texas Christian University (Fort Worth, TX)"
atchlju01,True,"Sedro-Woolley HS (Sedro-Woolley, WA)","Walla Walla Community College (Walla Walla, WA)"
atilalu01,True,"Gabriela Mistral (Lares, Puerto Rico)",
atkinga01,True,"University HS (Irvine, CA)","University of California, Los Angeles (Los Angeles, CA)"
atkinmi01,True,"Northeast Guilford HS (McLeansville, NC)",
aubremi01,True,"Southwood HS (Shreveport, LA)","Tulane University (New Orleans, LA)"
augenbr01,True,"Sebastian River HS (Sebastian, FL)","University of Florida (Gainesville, FL)"
aumonph01,True,"Ecole Du Versant (Gatineau, QC)",
austije01,True,"Kingwood HS (Kingwood, TX)","Stanford University (Palo Alto, CA)"
austity01,True,"Heritage HS (Conyers, GA)",
aveliab01,False,,
averyxa01,True,"Cedar Grove HS (Ellenwood, GA)",
avilaal01,True,"Archbishop McCarthy HS (Southwest Ranches, FL)","University of Alabama (Tuscaloosa, AL)"
avilalu01,False,,
avilemi01,True,"Middletown HS (Middletown, NY)","Concordia College-Bronxville (Bronxville, NY)"
axelrdy01,True,"Santa Barbara HS (Santa Barbara, CA)","University of California, Irvine (Irvine, CA)"
axforjo01,False,"Assumption College School (Brantford, ON)","Canisius College (Buffalo, NY)"
ayalalu01,False,"Los Mochis (Los Mochis, Mexico)",
aybarer01,False,"Freddie Pimental (Freddie Pimental, Dominican Republic)",
aybarwi01,False,,
backebr01,True,"Ball HS (Galveston, TX)","Galveston College (Galveston, TX)"
bacsimi02,True,"Duncanville HS (Duncanville, TX)",
badenbu01,True,"Perrysburg HS (Perrysburg, OH)","Bowling Green State University (Bowling Green, OH)"
baderha01,True,"Horace Mann School (Riverdale, NY)","University of Florida (Gainesville, FL)"
baekch01,False,"Pusan (Pusan, South Korea)",
baezbe01,False,"Bonao (Bonao, Dominican Republic)",
baezda01,False,"Pinar del Rio (Pinar del Rio, Cuba)",
baezja01,False,"Arlington Country Day School (Jacksonville, FL)",Chicago Cubs
baezpe01,False,,
baezsa01,False,,
bailean01,True,"Paul VI HS (Haddonfield, NJ)","Wagner College (Staten Island, NY)"
baileho02,True,"La Grange HS (La Grange, TX)",
baileje01,True,"Kelso HS (Kelso, WA)",
baislje01,True,"Land O'Lakes HS (Land O'Lakes, FL)","University of South Florida (Tampa, FL)"
bajenje01,True,"Senator Ruben S. Ayala HS (Chino Hills, CA)","Riverside Community College (Riverside, CA)"
bakerje03,True,"Garfield HS (Woodbridge, VA)","Clemson University (Clemson, SC)"
bakerjo01,True,"De La Salle HS (Concord, CA)","University of California, Berkeley (Berkeley, CA)"
bakersc02,True,"Captain Shreve HS (Shreveport, LA)","Oklahoma State University (Stillwater, OK)"
baldero01,True,"Bishop Hendricken HS (Warwick, RI)",
balenwl01,False,,
balesco01,True,"Huntington Beach HS (Huntington Beach, CA)",
balfogr01,False,"Glenwood (Glenwood, Australia)",
bandaan01,True,"Sinton HS (Sinton, TX)","San Jacinto College, North Campus (Houston, TX)"
bandyje01,True,"Thousand Oaks HS (Thousand Oaks, CA)","University of Arizona (Tucson, AZ)"
banksjo01,True,"Severna Park HS (Severna Park, MD)","Florida International University (Miami, FL)"
bankswe01,True,"Plano East HS (Plano, TX)",
bannibr01,True,"Chaparral HS (Scottsdale, AZ)","University of Southern California (Los Angeles, CA)"
bantzbr01,True,"Mansfield HS (Mansfield, TX)","Dallas Baptist University (Dallas, TX)"
banuema01,False,,
barbajo01,True,"Felix Varela HS (Miami, FL)",
barcelo01,False,"San Pedro de Macoris (San Pedro de Macoris, Dominican Republic)",
