Arkansas,ARK,,12,Appalachian St.,APST,,2,,9,2014-02-14
Arizona St.,ASU,,7,Baylor,BAY,,9,,9,2014-02-14
Belmont,BEL,,2,Bowling Green,BG,,1,,7,2014-02-14
Alcorn,ALCN,,4,Bradley,BRAD,,9,,10,2014-02-14
UC Irvine,UCI,,0,Fresno St.,FRES,,2,,10,2014-02-14
Bethune-Cookman,BCU,,2,CSUN,CSUN,,1,,9,2014-02-14
UNLV,UNLV,,5,Central Mich.,CMU,,0,,9,2014-02-14
McNeese,MCNS,,9,Chicago St.,CSU,,3,,9,2014-02-14
Little Rock,LR,,5,Creighton,CREI,,1,,9,2014-02-14
The Citadel,CIT,,6,Virginia Tech,VTU,,2,,9,2014-02-14
Louisiana,ULL,,1,Eastern Ill.,EIU,,5,,9,2014-02-14
Alabama St.,ALST,,2,Eastern Ky.,EKU,,8,,9,2014-02-14
Clemson,CLEM,,5,Eastern Mich.,EMU,,6,,10,2014-02-14
Southern U.,SOU,,7,Grambling,GSU,,5,,9,2014-02-14
Georgia St.,GAST,,5,Illinois,ILL,,4,,10,2014-02-14
Texas Tech,TTU,,0,Indiana,IU,,1,,9,2014-02-14
TCU,TCU,,5,Jacksonville,JAC,,0,,9,2014-02-14
East Carolina,ECU,,6,James Madison,JMU,,5,,9,2014-02-14
Cal Poly,CP,,3,Kansas St.,KSU,,0,,9,2014-02-14
Arizona,ARIZ,,13,Kent St.,KENT,,1,,9,2014-02-14
North Florida,UNF,,11,Liberty,LIB,,4,,9,2014-02-14
Miami (FL),MIAM,,6,Maine,UME,,3,,9,2014-02-14
Lamar University,LAM,,7,Marist,MAR,,6,,9,2014-02-14
Florida,UF,,4,Maryland,UMD,,0,,9,2014-02-14
Texas St.,TXST,,8,Michigan,UM,,7,,10,2014-02-14
DBU,DBU,,19,Mississippi Val.,MVSU,,0,,9,2014-02-14
Stetson,STE,,0,Ole Miss,MISS,,7,,9,2014-02-14
San Diego,USD,,6,New Mexico,NMU,,4,,9,2014-02-14
LSU,LSU,,2,New Orleans,UNO,,0,,9,2014-02-14
Florida St.,FSU,,13,Niagara,NU,,2,,9,2014-02-14
Houston,UH,,3,Nicholls St.,NIST,,0,,9,2014-02-14
Texas A&M,TAMU,,10,Northeastern,NEU,,2,,9,2014-02-14
Sam Houston St.,SHSU,,5,Northern Colo.,UNCO,,3,,9,2014-02-14
Troy,TROY,,7,Northern Ky.,NKU,,0,,9,2014-02-14
Southern California,USC,,4,Northwestern,NW,,3,,11,2014-02-14
Georgia Tech,GT,,6,Old Dominion,ODU,,5,,9,2014-02-14
Hawaii,HAW,,2,Oregon,UO,,3,,9,2014-02-14
UCLA,UCLA,,0,Portland,POR,,1,,9,2014-02-14
Houston Baptist,HBU,,6,Prairie View,PV,,2,,9,2014-02-14
FGCU,FGCU,,7,Rhode Island,URI,,3,,9,2014-02-14
Stanford,STAN,,3,Rice,RICE,,10,,9,2014-02-14
FIU,FIU,,7,Rutgers,RUT,,6,,9,2014-02-14
Pepperdine,PEPP,,0,St. John's (NY),SJ,,2,,9,2014-02-14
Alabama,ALA,,1,Saint Louis,SLU,,2,,9,2014-02-14
New Mexico St.,NMST,,4,Saint Mary's (CA),SMC,,2,,9,2014-02-14
UTSA,UTSA,,1,Saint Peter's,SAIN,,0,,10,2014-02-14
San Jose St.,SJSU,,6,San Diego St.,SDSU,,4,,9,2014-02-14
UC Riverside,UCR,,10,San Francisco,SF,,2,,9,2014-02-14
Oklahoma,OU,,5,Seton Hall,SET,,7,,9,2014-02-14
UCF,UCF,,8,Siena,SIE,,1,,9,2014-02-14
Oral Roberts,ORU,,4,Southeast Mo. St.,SEMO,,10,,9,2014-02-14
Louisiana Tech,LTU,,2,Southeastern La.,SELA,,4,,10,2014-02-14
Wichita St.,WICH,,6,SIUE,SIUE,,1,,9,2014-02-14
Central Ark.,UCA,,5,Missouri St.,MOST,,11,,9,2014-02-14
UT Arlington,UTA,,9,SFA,SFA,,14,,9,2014-02-14
South Alabama,SAU,,4,Tennessee Tech,TNTC,,5,,11,2014-02-14
UAB,UAB,,5,UT Martin,UTM,,0,,9,2014-02-14
Jackson St.,JKST,,4,Texas Southern,TSU,,2,,9,2014-02-14
California,CAL,,7,Texas,UT,,0,,9,2014-02-14
William & Mary,WM,,21,Army West Point,ARMY,,3,,9,2014-02-14
Sacramento St.,SAC,,3,Utah,UTAH,,2,,9,2014-02-14
Samford,SAMF,,5,Valparaiso,VAL,,6,,9,2014-02-14
Long Beach St.,LBST,,2,Vanderbilt,VAN,,5,,9,2014-02-14
UNCW,UNCW,,5,VMI,VMI,,3,,9,2014-02-14
Cal St. Fullerton,CSF,,12,Washington St.,WSU,,0,,9,2014-02-14
Memphis,MEM,,3,Western Mich.,WMU,,2,,9,2014-02-14
CSU Bakersfield,CSUB,,8,Milwaukee,MIL,,4,,9,2014-02-14
La.-Monroe,ULM,,6,Grand Canyon,GCU,,3,,9,2014-02-14
UC Davis,UCD,,1,Seattle U,SEA,,2,,9,2014-02-14
Tulane,TUL,,7,Ark.-Pine Bluff,ARPB,,0,,9,2014-02-14
UTRGV,UTRG,,3,A&M-Corpus Christi,AMCC,,2,,9,2014-02-14
,,,2,Utah Valley,UVU,,1,,9,2014-02-14
Abilene Christian,ACU,,12,,,,2,,7,2014-02-14
Mississippi St.,MSST,,2,Western Caro.,WCU,,3,,9,2014-02-14
Oklahoma St.,OKST,,10,,,,5,"@Arlington, Texas        ",9,2014-02-14
Radford,RAD,,4,VCU,VCU,,9,"@Atlanta, Ga.        ",9,2014-02-14
Marist,MAR,,3,UIC,UIC,,11,"@Beaumont, Texas        ",9,2014-02-14
Louisville,UL,,7,West Virginia,WVU,,6,"@Charleston, S.C.        ",10,2014-02-14
Minnesota,MIN,,3,Northern Ill.,NIU,,2,"@Glendale, Ariz.        ",10,2014-02-14
Kansas,KU,,10,BYU,BYU,,4,"@Peoria, Ariz.        ",9,2014-02-14
Indiana St.,INST,,0,Auburn,AUB,,4,"@Port Charlotte, Fla.        ",9,2014-02-14
Ohio St.,OSU,,8,UConn,CONN,,2,"@Port Charlotte, Fla.        ",9,2014-02-14
Air Force,AFA,,14,Washington,UW,,9,"@San Marcos, Texas        ",9,2014-02-14
Washington,UW,,8,Michigan,UM,,6,"@San Marcos, Texas        ",10,2014-02-14
Boston College,BC,,1,Nevada,NEV,,4,"@Santa Clara, Calif.        ",9,2014-02-14
Oregon St.,ORST,,4,Gonzaga,GU,,3,"@Tempe, Ariz.        ",9,2014-02-14
Nebraska,NEB,,5,Pacific,PAC,,3,"@Tempe, Ariz.        ",9,2014-02-14
Kentucky,UK,,8,Virginia,UVA,,3,"@Wilmington, N.C.        ",9,2014-02-14
Jacksonville St.,JVST,,6,Northwestern St.,NWST,,4,,9,2014-02-14
