school,conference,school_id,year,division,conference_id,abbreviation,trackman_abb
A&M-Corpus Christi,Southland,26172,2019,1,914,AMCC,TEX_ISL
Abilene Christian,Southland,2,2019,1,914,ACU,ABI_WIL
Air Force,MWC,721,2019,1,5486,AFA,AIR_FOR
Alabama,SEC,8,2019,1,911,ALA,ALA_ANM
Alabama A&M,SWAC,6,2019,1,916,AAMU,ALA_CRI
Alabama St.,SWAC,7,2019,1,916,ALST,ALA_HOR
Albany (NY),America East,14,2019,1,845,ALBY,ALB_GRE
Alcorn,SWAC,17,2019,1,916,ALCN,ALC_BRA
Appalachian St.,Sun Belt,27,2019,1,818,APST,APP_MOU
Arizona,Pac-12,29,2019,1,905,ARIZ,ARI_WIL
Arizona St.,Pac-12,28,2019,1,905,ASU,ARI_SUN
Ark.-Pine Bluff,SWAC,2678,2019,1,916,ARPB,ARK_RAZ
Arkansas,SEC,31,2019,1,911,ARK,ARK_LIO
Arkansas St.,Sun Belt,30,2019,1,818,ARST,ASU_RED
Army West Point,Patriot,725,2019,1,838,ARMY,ARM_BLA
Auburn,SEC,37,2019,1,911,AUB,AUB_TIG
Austin Peay,OVC,43,2019,1,902,PEAY,AUS_GOV
Ball St.,MAC,47,2019,1,875,BSU,BAL_CAR
Baylor,Big 12,51,2019,1,25354,BAY,BAY_BEA
Belmont,OVC,14927,2019,1,902,BEL,BEL_BRU
Bethune-Cookman,MEAC,61,2019,1,876,BCU,BET_WIL
Binghamton,America East,62,2019,1,845,BING,BIN_BEA
Boston College,ACC,67,2019,1,821,BC,BOC_EAG
Bowling Green,MAC,71,2019,1,875,BG,BGS_FAL
Bradley,MVC,72,2019,1,884,BRAD,BRA_BRA
Brown,Ivy League,80,2019,1,865,BRWN,BRO_BEA
Bryant,NEC,81,2019,1,846,BRY,BRY_BUL
Bucknell,Patriot,83,2019,1,838,BUCK,BUC_BIS
Butler,Big East,87,2019,1,30184,BUT,BUT_BUL
BYU,WCC,77,2019,1,922,BYU,BYU_COU
Cal Poly,Big West,90,2019,1,904,CP,CAL_MUS
Cal St. Fullerton,Big West,97,2019,1,904,CSF,CAL_FUL
California,Pac-12,107,2019,1,905,CAL,CAL_BEA
California Baptist,WAC,30135,2019,1,923,CBU,CAL_LAN
Campbell,Big South,115,2019,1,826,CAMP,CAM_CAM
Canisius,MAAC,116,2019,1,871,CAN,CAN_GRI
Central Ark.,Southland,1004,2019,1,914,UCA,CEN_BEA
Central Conn. St.,NEC,127,2019,1,846,CCST,CCU_BLD
Central Mich.,MAC,129,2019,1,875,CMU,CEN_MIC
Charleston So.,Big South,48,2019,1,826,CHSO,CHA_BUC
Charlotte,C-USA,458,2019,1,24312,CHAR,CHA_FOR
Chicago St.,WAC,136,2019,1,923,CSU,CHI_COU
Cincinnati,AAC,140,2019,1,823,UC,CIN_BEA
Clemson,ACC,147,2019,1,821,CLEM,CLE_TIG
Coastal Caro.,Sun Belt,149,2019,1,818,CCU,COA_CHA
Col. of Charleston,CAA,1014,2019,1,837,COC,COC_COU
Columbia,Ivy League,158,2019,1,865,COL,COL_LION
Coppin St.,MEAC,165,2019,1,876,COPP,COP_STA
Cornell,Ivy League,167,2019,1,865,CORN,COR_BRE
Creighton,Big East,169,2019,1,30184,CREI,CRE_BLU
CSU Bakersfield,WAC,94,2019,1,923,CSUB,CSU_BAK
CSUN,Big West,101,2019,1,904,CSUN,
Dartmouth,Ivy League,172,2019,1,865,DART,DAR_GRE
Davidson,Atlantic 10,173,2019,1,820,DAV,DAV_WIL
Dayton,Atlantic 10,175,2019,1,820,DAY,DAY_FLY
DBU,MVC,1045,2019,1,884,DBU,DAL_PAT
Delaware,CAA,180,2019,1,837,DEL,DEL_BLU
Delaware St.,MEAC,178,2019,1,876,DEST,DEL_HOR
Duke,ACC,193,2019,1,821,DUKE,DUK_BLU
East Carolina,AAC,196,2019,1,823,ECU,ECU_PIR
Eastern Ill.,OVC,201,2019,1,902,EIU,EIU_PAN
Eastern Ky.,OVC,202,2019,1,902,EKU,EKU_COL
Eastern Mich.,MAC,204,2019,1,875,EMU,EMU_EAG
Elon,CAA,1068,2019,1,837,ELON,ELO_PHO
ETSU,SoCon,198,2019,1,912,ETSU,ETS_BUC
Evansville,MVC,219,2019,1,884,EVAN,EVA_ACE
Fairfield,MAAC,220,2019,1,871,FAIR,FAI_STA
Fairleigh Dickinson,NEC,222,2019,1,846,FDU,FDU_KNI
FGCU,ASUN,28755,2019,1,920,FGCU,FGCU
FIU,C-USA,231,2019,1,24312,FIU,FLO_PAN
Fla. Atlantic,C-USA,229,2019,1,24312,FAU,FAU_OWL
Florida,SEC,235,2019,1,911,UF,FLA_GAT
Florida A&M,MEAC,228,2019,1,876,FAMU,FLO_RAT
Florida St.,ACC,234,2019,1,821,FSU,FLO_SEM
Fordham,Atlantic 10,236,2019,1,820,FORD,FOR_RAM
Fresno St.,MWC,96,2019,1,5486,FRES,FRE_BUL
Furman,SoCon,244,2019,1,912,FURM,FUR_PAL
Ga. Southern,Sun Belt,253,2019,1,818,GASO,GEO_EAG
Gardner-Webb,Big South,1092,2019,1,826,GW,GAR_RUN
George Mason,Atlantic 10,248,2019,1,820,GMU,GEO_PAT
George Washington,Atlantic 10,249,2019,1,820,GWU,GEO_COL
Georgetown,Big East,251,2019,1,30184,GTWN,GUHoyas
Georgia,SEC,257,2019,1,911,UGA,GEO_BUL
Georgia St.,Sun Belt,254,2019,1,818,GAST,GEO_PAN
Georgia Tech,ACC,255,2019,1,821,GT,GIT_YEL
Gonzaga,WCC,260,2019,1,922,GU,GON_BUL
Grambling,SWAC,261,2019,1,916,GSU,GRA_TIG
Grand Canyon,WAC,1104,2019,1,923,GCU,GRA_CAN
Hartford,America East,272,2019,1,845,HART,HAR_HAW
Harvard,Ivy League,275,2019,1,865,HARV,HAR_CRI
Hawaii,Big West,277,2019,1,904,HAW,HAW_WAR
High Point,Big South,19651,2019,1,826,HPU,HIG_PAN
Hofstra,CAA,283,2019,1,837,HOF,HOF_PRI
Holy Cross,Patriot,285,2019,1,838,HC,HOL_CRU
Houston,AAC,288,2019,1,823,UH,HOU_COU
Houston Baptist,Southland,287,2019,1,914,HBU,HBU_HUS
Illinois,Big Ten,301,2019,1,827,ILL,ILL_ILL
Illinois St.,MVC,299,2019,1,884,ILST,ILL_RED
Incarnate Word,Southland,2743,2019,1,914,ICW,IWC
Indiana,Big Ten,306,2019,1,827,IU,IU
Indiana St.,MVC,305,2019,1,884,INST,IND_SYC
Iona,MAAC,310,2019,1,871,IONA,ION_GAE
Iowa,Big Ten,312,2019,1,827,IOWA,IOW_HAW
Jackson St.,SWAC,314,2019,1,916,JKST,JAC_TIG
Jacksonville,ASUN,316,2019,1,920,JAC,JUD
Jacksonville St.,OVC,315,2019,1,902,JVST,JAC_GAM
James Madison,CAA,317,2019,1,837,JMU,JMU_DUK
Kansas,Big 12,328,2019,1,25354,KU,KAN_JAY
Kansas St.,Big 12,327,2019,1,25354,KSU,KAN_WIL
Kennesaw St.,ASUN,1157,2019,1,920,KENN,KEN_OWL
Kent St.,MAC,331,2019,1,875,KENT,KSU
Kentucky,SEC,334,2019,1,911,UK,KEN_WIL
La Salle,Atlantic 10,340,2019,1,820,LS,LAS_EXS
La.-Monroe,Sun Belt,498,2019,1,818,ULM,ULM_WAR
Lafayette,Patriot,342,2019,1,838,LC,LAF_LEP
Lamar University,Southland,346,2019,1,914,LAM,LAM_CAR
Lehigh,Patriot,352,2019,1,838,LEH,LEH_MOU
Liberty,ASUN,355,2019,1,920,LIB,LIB_FLA
Lipscomb,ASUN,28600,2019,1,920,LIP,LIP_BIS
Little Rock,Sun Belt,32,2019,1,818,LR,LIT_TRO
LIU Brooklyn,NEC,361,2019,1,846,LIU ,LIU_BLA
Long Beach St.,Big West,99,2019,1,904,LBST,LON_DIR
Longwood,Big South,363,2019,1,826,LU,LON_LAN
